2026-08-26 13:05:11 | INFO | inference_ncp_mse | _________________________________________________________________
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  Layer (type)                Output Shape              Param #   
2026-08-26 13:05:11 | INFO | inference_ncp_mse | =================================================================
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  input_1 (InputLayer)        [(None, 88, 106, 22)]     0         
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  conv2d (Conv2D)             (None, 84, 102, 16)       8816      
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  average_pooling2d (AverageP  (None, 42, 51, 16)       0         
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  ooling2D)                                                       
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  batch_normalization (BatchN  (None, 42, 51, 16)       64        
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  ormalization)                                                   
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  conv2d_1 (Conv2D)           (None, 38, 47, 32)        12832     
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  average_pooling2d_1 (Averag  (None, 19, 23, 32)       0         
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  ePooling2D)                                                     
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  batch_normalization_1 (Batc  (None, 19, 23, 32)       128       
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  hNormalization)                                                 
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  conv2d_2 (Conv2D)           (None, 15, 19, 64)        51264     
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  average_pooling2d_2 (Averag  (None, 7, 9, 64)         0         
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  ePooling2D)                                                     
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  batch_normalization_2 (Batc  (None, 7, 9, 64)         256       
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  hNormalization)                                                 
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  flatten (Flatten)           (None, 4032)              0         
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  dropout (Dropout)           (None, 4032)              0         
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  dense (Dense)               (None, 256)               1032448   
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |  dense_1 (Dense)             (None, 149248)            38356736  
2026-08-26 13:05:11 | INFO | inference_ncp_mse |                                                                  
2026-08-26 13:05:11 | INFO | inference_ncp_mse | =================================================================
2026-08-26 13:05:11 | INFO | inference_ncp_mse | Total params: 39,462,544
2026-08-26 13:05:11 | INFO | inference_ncp_mse | Trainable params: 39,462,320
2026-08-26 13:05:11 | INFO | inference_ncp_mse | Non-trainable params: 224
2026-08-26 13:05:11 | INFO | inference_ncp_mse | _________________________________________________________________
2026-08-26 13:05:15 | INFO | inference_ncp_mse | Prediction saved to /nobackup/rossby27/users/sm_yicwa/PROJECTS/01-PROJ_emulator/01-rampal2021-unet/Repo_CNNEmulator_HCLIM_CRM/output/inference/tas/prediction.nc
2026-08-26 13:05:21 | INFO | inference_ncp_mse | Metrics saved to /nobackup/rossby27/users/sm_yicwa/PROJECTS/01-PROJ_emulator/01-rampal2021-unet/Repo_CNNEmulator_HCLIM_CRM/output/inference/tas/evaluation_metrics.csv
2026-08-26 13:05:21 | INFO | inference_ncp_mse | Inference completed successfully.
